Country Name,MeanBMI_BothSexes,Continent,Sex
Afghanistan,21.6,Middle East,Mixed
Albania,26.1,Europe,Mixed
Algeria,26.2,Middle East,Mixed
Angola,24.1,Africa,Mixed
Antigua and Barbuda,28.4,Carribbean,Mixed
Argentina,27.7,South America,Mixed
Armenia,26.7,Asia,Mixed
Australia,27.2,Oceania,Mixed
Austria,25.4,Europe,Mixed
Azerbaijan,27.4,Asia,Mixed
Bahrain,28.2,Middle East,Mixed
Bangladesh,21,Asia,Mixed
Barbados,28.7,Carribbean,Mixed
Belarus,26.6,Europe,Mixed
Belgium,25.5,Europe,Mixed
Belize,28.9,Central America,Mixed
Benin,23.4,Africa,Mixed
Bhutan,23.8,Asia,Mixed
Bolivia,25.9,South America,Mixed
Bosnia and Herzegovina,26.1,Europe,Mixed
Botswana,24.7,Africa,Mixed
Brazil,25.9,South America,Mixed
Bulgaria,26,Europe,Mixed
Burkina Faso,22.1,Africa,Mixed
Burundi,20.9,Africa,Mixed
Cambodia,21.9,Asia,Mixed
Cameroon,24.4,Africa,Mixed
Canada,27.2,North America,Mixed
Central African Republic,22.4,Africa,Mixed
Chad,22.3,Africa,Mixed
Chile,27.8,South America,Mixed
China,23.9,Asia,Mixed
Colombia,25.9,South America,Mixed
Comoros,24.1,Africa,Mixed
Congo,23.3,Africa,Mixed
Congo-Brazzaville,25.2,Asia,Mixed
Costa Rica,26.9,Central America,Mixed
Croatia,25.5,Europe,Mixed
Cuba,26.2,Carribbean,Mixed
Cyprus,27,Middle East,Mixed
Czech Republic,26.9,Europe,Mixed
Denmark,25.3,Europe,Mixed
Djibouti,23.3,Africa,Mixed
Dominica,27,Carribbean,Mixed
Dominican Republic,26.7,Carribbean,Mixed
Ecuador,27,South America,Mixed
Egypt,29.2,Middle East,Mixed
El Salvador,27.4,Central America,Mixed
Equatorial Guinea,25.6,Africa,Mixed
Eritrea,20.5,Africa,Mixed
Estonia,25.5,Europe,Mixed
Ethiopia,20.6,Africa,Mixed
Fiji,27.2,Oceania,Mixed
Finland,25.9,Europe,Mixed
France,25.3,Europe,Mixed
Gabon,25.5,Africa,Mixed
Gambia,24,Africa,Mixed
Georgia,27.2,Europe,Mixed
Germany,26.3,Europe,Mixed
Ghana,24.2,Africa,Mixed
Greece,27.3,Europe,Mixed
Grenada,27,Carribbean,Mixed
Guatemala,26.5,Central America,Mixed
Guinea,22.7,Africa,Mixed
Guinea-Bissau,23.1,Africa,Mixed
Guyana,26.3,South America,Mixed
