"Data Source","World Development Indicators",

"Last Updated Date","2016-10-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14301.1085038967","","","","","","",
"Andorra","AND","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554.589091764237","","","","","","",
"Angola","AGO","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1883.81939383211","","","","","","",
"Albania","ALB","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2204.00711489711","1661.09250503964","1550.74072108732","1607.13816630413","1659.78273995242","1667.45176261015","1800.07155707695","2006.58578749285","2204.22497646325","2348.85951120485","2475.05650684422","2760.1092263218","3074.07110000102","3116.45856743853","3183.90243644343","3249.77446871628","3258.94707662711","3324.97763276353","3417.62423332059","3417.11296570552","",
"Arab World","ARB","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2252.61698150914","2310.77438158496","2331.62026500099","2443.10676539188","2486.76234266614","2632.49384562901","2783.82185783882","2912.82142212264","2716.21553982717","2763.04170627739","2784.01234040228","2805.62367866651","2859.23695784253","2893.21518532747","","",
"United Arab Emirates","ARE","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37266.5219867395","37449.5000365047","35717.0349202768","35811.5116546093","32456.7910572164","32064.3417206825","30939.8275007877","29830.5911786206","21501.2349056853","20345.2012454303","19589.4424435576","16552.2599467948","17381.972527021","17249.9909030528","","",
"Argentina","ARG","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4816.07524782497","5042.2298023333","4761.32912117919","4964.57394324836","5347.67371864742","5471.27355100756","5302.47713232275","5209.30553873675","4855.96031641103","4113.05476627914","4400.26877788841","4766.11168451693","5085.78208358069","5536.54741471409","6002.72052034804","6347.87970780312","6006.8664091243","6581.65539695666","7090.11140282237","7009.92209171138","7258.93922965984","6811.15005501813","7081.46317349772","",
"Armenia","ARM","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1246.36231380608","1205.16102123312","1060.09964967783","794.375349654672","859.189743949902","956.794322319668","1008.97270930486","1094.85578989235","1162.02856292545","1185.58576670391","1291.38669839311","1397.43327894152","1528.19070503337","1644.40506928093","1797.48696052342","1962.65134439391","2134.4232096881","2428.45796775163","2570.35110908425","2465.10417334226","2562.23293684312","2632.21854233588","2861.6433541466","2874.03031017156","2874.98536492304","2637.7200683769","",
"American Samoa","ASM","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","5356.01932798073","5709.91141777064","7292.59822406595","6344.20335161603","6698.11889962476","7741.84643532221","9777.68697346076","9345.17155135357","7135.3307077672","8190.35349267296","7466.92417555601","7282.73789206291","7175.81385208915","7250.71133439614","8265.20434497006","8197.9836361958","8864.87609279818","8459.2945982447","8006.91788693653","8500.17798401519","8053.4594755003","8799.52597787574","8511.58810778767","9642.75887285778","9497.36388541295","10962.8343743456","11937.3053202095","11094.2521678199","7731.36556501874","8740.7229085493","8927.64687293915","9502.20458248804","9595.33662615674","9674.19278522999","8361.93893548932","",
"Australia","AUS","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","10268.9925190547","10287.3424657141","10291.5241970988","10644.3951428013","11170.6439798751","11500.8136817066","11564.1515529658","11999.298267806","12374.2525095594","12763.7870742432","13274.7924113893","13334.4545139412","13576.6110194016","13992.8794385698","14497.422804459","15011.2495001618","14972.4264468427","15601.5826973421","15727.4160144802","15792.1399703423","15889.7101624254","16163.4819491739","16782.5377494265","16974.9762729494","16991.27683283","16904.1710968881","17511.9943552135","17618.5735366325","17909.3550895282","18443.4289009557","18929.7684392395","18889.244200423","19102.7333842517","19281.5029193706","19538.1448833853","20194.2424274916","20586.767478837","20957.0986641548","21754.0053719207","22680.2384542806","23337.8259626964","23782.1592751641","24219.614056484","24946.3198118561","25927.2462393877","26740.8411810152","27179.9662505487","28300.8282965686","29051.6792559806","28546.4155207554","28745.499635174","29428.6169376837","29669.3435821238","29630.210970194","29959.8017564572","30353.8278872422","",
"Austria","AUT","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","10604.4393040204","11266.4760470996","11882.2363303017","12451.3527553016","12802.1028573242","13252.939374835","13879.7074766503","14766.4860164644","14526.3949819498","15241.8841073529","15625.9498503998","15784.9365023851","16076.962152694","16978.0390726296","16617.8600058705","16910.8476235276","17270.7175614271","17677.1002611813","18077.1345517254","18641.5986369468","19283.5376832479","19663.7672989833","20125.2157846697","19981.0821453647","20310.9779552603","20452.7753522035","21013.776779534","21087.1511288925","21677.0704626314","22147.0199331756","22776.5211756362","22983.1358522727","23042.4306606475","23326.9399980604","23722.86064284","24069.3058217825","24459.602112871","24637.3138257334","24767.8848015592","24845.1422002499","25028.7977263645","25268.6192427489","25295.8893082209","25165.1575672759","24993.9480855937","24889.1255473322","",
"Azerbaijan","AZE","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1158.11048399534","852.065557725274","615.337810270242","592.476049526931","642.242745478069","711.77011884089","803.047883832097","893.146983407605","1078.48052026564","1036.72641036398","1156.91936329879","1214.51875480962","1332.18095273715","1598.15375961739","2155.6101797568","2516.80769648755","2626.80531593056","2737.21217390923","2299.87640443591","2812.77998416667","2836.7163459505","","","","",
"Burundi","BDI","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.505467042172","160.14482331848","153.469810324039","148.472515941545","145.755231502707","153.053740178658","143.240320560891","143.906838612924","156.574988210132","144.412736244145","144.959120038523","144.807835024748","145.53209076162","146.040357019978","146.636287403358","147.60630305135","149.645557922633","151.451414775405","151.231028755278","",
"Belgium","BEL","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","10758.8539594594","11267.5567706563","11887.880478924","12816.3461920985","13134.3818402595","13208.5512340415","13855.3064999272","14202.3282225253","14543.2895016348","15275.8331267004","15134.9822278763","15198.6375241211","15573.4898472568","15551.3343273684","15608.9568233944","16026.9420197134","16456.8313465771","16728.1439828771","17228.3283974136","17733.6606217985","18242.1349664874","18723.3972270503","19003.4136429493","18844.4559090395","19236.3914511916","19498.6853830876","19889.9118578312","20196.489013029","20701.6041980005","21000.4694055415","21557.7314800085","21701.6435504438","21690.4939692906","21711.5090528344","21955.0216650325","22103.1419831213","22280.7740613513","22527.6271755715","22729.3013816151","22658.2506102639","23059.7057030725","22820.432757389","22788.9019902344","22874.9276976567","22858.3973671298","23044.0753203284","",
"Benin","BEN","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","424.535691100647","425.561400910355","414.334099614138","441.955892885236","473.381252268767","498.666770038542","539.429173600273","541.941271838201","549.591017475562","539.648201511209","536.463254826085","529.84537241327","538.377794824111","546.336640342984","536.56961600024","513.283782146396","500.084614036057","546.632411438522","546.990682866518","560.399202324471","574.970491326645","610.295787031839","524.131136845225","500.815202831431","526.114664444849","568.330032275238","543.094205366073","516.255363901665","558.20434615554","501.345286418667","458.485728698406","484.422126900959","493.996607213791","501.105087399025","457.723248537468","461.225005765991","472.603602673488","481.892336400819","493.779670002573","505.069501840535","526.624082913911","525.920715356208","537.888873849414","531.170618797616","527.033348348646","532.391748426786","535.188301223257","538.977291340362","550.053405465986","544.122655793092","538.239594743755","535.686211038238","534.721204843591","541.895325092893","548.419886709737","553.906584909919","",
"Burkina Faso","BFA","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","230.905801267687","230.255727840914","257.810907285016","258.234760189646","259.809433542681","240.346215471091","240.937175215851","226.496117096659","220.514186937989","229.634712053095","240.008930759561","251.179657820099","274.116215901843","266.528008719892","267.55108013168","280.895777538551","285.707845485953","283.536760474015","277.648001082339","253.396492891584","258.386711244735","287.364981998544","265.532661082683","273.198740653519","261.191464389942","246.772965343019","252.903525799694","247.933600912912","257.367318153568","200.298591305575","227.898269008025","262.339065183552","261.380708844694","287.803448049774","327.087816139037","309.203665644661","309.15177168947","312.740630892731","330.060017414593","332.375479239238","346.542140313677","343.054834965674","342.722836605488","373.436044360511","353.633681982466","361.002041592904","323.717323200717","249.584683206678","255.940830902272","245.768035372049","267.461324649869","",
"Bangladesh","BGD","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","617.399974202917","653.760354305158","624.270612479596","636.204413880906","682.845079382435","665.174330398705","654.871235918936","630.43869960031","629.059723945709","635.537280046787","673.814044240813","636.702732263115","587.13862363525","496.881713826395","464.866065926387","434.675013379235","423.965019321888","361.457369281438","406.776846641952","407.849139137568","412.800431698875","388.118663950232","365.887336653418","365.626905706691","381.665335840068","376.493995466897","376.976719709482","377.041357313508","381.448088032906","375.136215874146","393.952377657634","383.560165488136","389.793457525144","394.343649460854","400.070208426375","406.246685401465","397.269770699781","393.037766294396","391.455186501493","398.930412456679","410.69296869311","419.688206705039","416.48996960201","425.949198986136","444.185734015863","467.16768364598","493.499848696772","523.844358796539","538.596632628713","544.86335376434","563.51735499565","593.101445240808","610.138144699099","633.667758919672","651.094921370737","680.761453730717","",
