Country,Countries according to Google Maps,Number of restaurants 2012,Number of restaurants 2007,Region,Burger King restaurants 2012,Population Size 2012,Number of people per McDonalds branch,"% overweight or obese - WHO, 2010"
American Samoa,American Samoa,2,1,"Asia/Pacific, Middle East and Africa",,"55,128","27,564.00",82.6
United States,United States,14157,13873,North America,7183,"313,914,040","22,173.77",78.6
Kuwait,Kuwait,67,47,"Asia/Pacific, Middle East and Africa",64,"3,250,496","48,514.87",74.95
Argentina,Argentina,209,183,Latin America,65,"41,086,927","196,588.17",74.45
New Zealand,New Zealand,161,141,"Asia/Pacific, Middle East and Africa",82,"4,433,100","27,534.78",74.05
Mexico,Mexico,402,364,Latin America,431,"120,847,477","300,615.61",73.3
Trinidad/Tobago,Trinidad/Tobago,3,0,Latin America,,,0.00,73
Australia,Australia,896,761,"Asia/Pacific, Middle East and Africa",357,"22,683,600","25,316.52",71.1
Chile,Chile,77,71,Latin America,,"17,464,814","226,815.77",70.85
Malta,Malta,8,8,Europe,,"418,366","52,295.75",70.45
Greece,Greece,22,49,Europe,,"11,280,167","512,734.86",70.35
Egypt,Egypt,72,53,"Asia/Pacific, Middle East and Africa",,"80,721,874","1,121,137.14",70.25
United Arab Emirates,United Arab Emirates,108,51,"Asia/Pacific, Middle East and Africa",,"9,205,651","85,237.51",69.25
Guatemala,Guatemala,75,60,Latin America,,"15,082,831","201,104.41",66.9
Uruguay,Uruguay,24,22,Latin America,,"3,395,253","141,468.88",66.85
Belarus,Belarus,8,6,Europe,,"9,464,000","1,183,000.00",66.8
Nicaragua,Nicaragua,6,4,Latin America,,"5,991,733","998,622.17",66.25
  United Kingdom,  United Kingdom,1208,1191,Europe,,"63,227,526","52,340.67",65.8
Andorra,Andorra,4,3,Europe,,"78,360","19,590.00",65.6
Peru,Peru,29,18,Latin America,,"29,987,800","1,034,062.07",65.5
Bahrain,Bahrain,17,12,"Asia/Pacific, Middle East and Africa",,"1,317,827","77,519.24",65.2
Saudi Arabia,Saudi Arabia,136,98,"Asia/Pacific, Middle East and Africa",80,"28,287,855","207,998.93",64.5
Monaco,Monaco,2,1,Europe,,"37,579","18,789.50",64.25
San Marino,San Marino,1,1,Europe,,"31,247","31,247.00",63.95
Canada,Canada,1417,1401,North America,293,"34,880,491","24,615.73",63.2
Qatar,Qatar,27,11,"Asia/Pacific, Middle East and Africa",,"2,050,514","75,944.96",62.7
Dominican Republic,Dominican Republic,10,7,Latin America,,"10,276,621","1,027,662.10",62.55
Iceland,Iceland,0,3,Europe,,"320,137",,62.45
Bahamas,Bahamas,3,4,Latin America,,,0.00,62.3
Germany,Germany,1440,1302,Europe,684,"81,889,839","56,867.94",62.15
Costa Rica,Costa Rica,50,29,Latin America,,"4,805,295","96,105.90",61.95
