Indicator,PUBLISH STATES,Year,WHO region,Country,Age Group,Sex,Display Value,Numeric,Low,High,Comments
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Bangladesh,18+  years,Male,20.5 [19.8-21.1],20.5,19.8,21.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Ethiopia,18+  years,Female,20.7 [20-21.4],20.7,20,21.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Madagascar,18+  years,Both sexes,20.9 [20.2-21.6],20.9,20.2,21.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Timor-Leste,18+  years,Both sexes,20.9 [19.6-22.2],20.9,19.6,22.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Afghanistan,18+  years,Female,21.2 [18.3-24.4],21.2,18.3,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Zambia,18+  years,Male,21.3 [20.1-22.4],21.3,20.1,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Rwanda,18+  years,Male,21.3 [20.6-22],21.3,20.6,22,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Cambodia,18+  years,Both sexes,21.5 [21-22],21.5,21,22,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mozambique,18+  years,Male,21.6 [20.4-22.8],21.6,20.4,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Myanmar,18+  years,Male,21.7 [20.9-22.5],21.7,20.9,22.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Zimbabwe,18+  years,Male,21.7 [21.1-22.3],21.7,21.1,22.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Democratic People's Republic of Korea,18+  years,Male,21.8 [19.3-24.2],21.8,19.3,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Democratic Republic of the Congo,18+  years,Male,21.8 [20.5-23.1],21.8,20.5,23.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Sierra Leone,18+  years,Male,21.8 [21.2-22.4],21.8,21.2,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Burkina Faso,18+  years,Female,21.8 [21.2-22.3],21.8,21.2,22.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,India,18+  years,Male,21.8 [21.1-22.4],21.8,21.1,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Chad,18+  years,Male,21.9 [20.5-23.3],21.9,20.5,23.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,India,18+  years,Both sexes,21.9 [21.5-22.4],21.9,21.5,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Chad,18+  years,Female,22.2 [21.2-23.1],22.2,21.2,23.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mozambique,18+  years,Both sexes,22.3 [21.6-23.1],22.3,21.6,23.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Nigeria,18+  years,Male,22.4 [21.7-23.2],22.4,21.7,23.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Central African Republic,18+  years,Both sexes,22.4 [21.3-23.5],22.4,21.3,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Namibia,18+  years,Male,22.5 [21.5-23.5],22.5,21.5,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Senegal,18+  years,Both sexes,22.7 [22.2-23.2],22.7,22.2,23.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Djibouti,18+  years,Male,22.7 [20.3-25.2],22.7,20.3,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,United Republic of Tanzania,18+  years,Both sexes,22.8 [22.4-23.1],22.8,22.4,23.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Malawi,18+  years,Female,22.9 [22.3-23.4],22.9,22.3,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Botswana,18+  years,Male,22.9 [21.8-24],22.9,21.8,24,
