Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Urban population,SP.URB.TOTL,Afghanistan,AFG,2210296,4192967,5851917,6103736,6352572,6614909,6903589,7223611,7570822,7937870,8312341,8685568
Urban population,SP.URB.TOTL,Albania,ALB,1197222,1289391,1430886,1452398,1473392,1495260,1519519,1546708,1575704,1604253,1632281,1658584
Urban population,SP.URB.TOTL,Algeria,DZA,13496455,18684936,21799703,22389513,23009066,23656184,24333777,25044389,25784533,26543182,27304259,28054939
Urban population,SP.URB.TOTL,American Samoa,ASM,38081,50957,51610,50898,50073,49309,48734,48402,48276,48297,48374,48430
Urban population,SP.URB.TOTL,Andorra,ADO,51628,60425,74901,75850,76084,75518,74134,71838,68773,65401,62329,59983
Urban population,SP.URB.TOTL,Angola,AGO,2846732,4881860,6849589,7236553,7641052,8064195,8508565,8974399,9459682,9963141,10484219,11022180
Urban population,SP.URB.TOTL,Antigua and Barbuda,ATG,21931,24946,23877,23634,23391,23145,22889,22626,22387,22175,21989,21828
Urban population,SP.URB.TOTL,Argentina,ARG,28469637,33033755,35708101,36150779,36594849,37043126,37498800,37962013,38430835,38902130,39371423,39835307
Urban population,SP.URB.TOTL,Armenia,ARM,2389869,1989190,1925886,1915891,1903929,1892051,1884191,1880841,1881149,1884333,1888225,1891291
Urban population,SP.URB.TOTL,Aruba,ABW,31272,42446,44880,44685,44371,44036,43747,43525,43378,43287,43217,43143
Urban population,SP.URB.TOTL,Australia,AUS,14573595,16694712,18245199,18390354,18793855,19216677,19549433,19854696,20231555,20609814,20950848,21265835
Urban population,SP.URB.TOTL,Austria,AUT,5049338,5271610,5443164,5461334,5478956,5493828,5507469,5526568,5552329,5586551,5630521,5680563
Urban population,SP.URB.TOTL,Azerbaijan,AZE,3847891,4135854,4461940,4530068,4643726,4759039,4835104,4918882,5006337,5094489,5182792,5271567
Urban population,SP.URB.TOTL,"Bahamas, The",BHS,204655,244297,276478,281980,287382,292676,297862,302925,307842,312595,317173,321567
Urban population,SP.URB.TOTL,Bahrain,BHR,437125,589313,831853,907907,987106,1059145,1116709,1156802,1181803,1196496,1208291,1222642
Urban population,SP.URB.TOTL,Bangladesh,BGD,20996319,30969126,39855413,41393377,42945776,44535525,46185503,47900902,49666838,51473761,53316419,55184476
