Country,Male,Female,Mixed
Ethiopia,20,20.7,20.3
Eritrea,20.2,20.8,20.5
Bangladesh,20.5,20.7,20.6
Burundi,20.4,21,20.7
Timor-Leste,21.1,20.7,20.9
Madagascar,20.9,21,20.9
Viet Nam,21,21.2,21.1
Afghanistan,21.1,21.2,21.2
Niger,21.1,21.9,21.5
Cambodia,21.5,21.6,21.5
India,21.5,21.7,21.6
Uganda,20.8,22.6,21.7
Rwanda,21.1,22.3,21.7
Nepal,22,21.4,21.7
Somalia,21.2,22.3,21.7
NorthKorea,21.8,21.8,21.8
Burkina Faso,21.9,21.8,21.8
SouthKorea,21.8,22.1,21.9
Chad,21.9,22.2,22
Mozambique,21.4,22.7,22.1
Lao,21.9,22.3,22.1
Central African Republic,21.5,22.8,22.2
Zambia,21.3,23.4,22.3
Myanmar,21.7,22.8,22.3
Mali,22.3,22.6,22.4
Sierra Leone,21.8,23.3,22.5
Sri Lanka,22,23,22.5
Indonesia,21.9,23,22.5
Malawi,22,22.9,22.5
Guinea,22,23,22.5
Kenya,21.7,23.6,22.6
Japan,23.5,21.8,22.6
Senegal,21.6,23.8,22.7
Tanaznia,22,23.5,22.8
Guinea-Bissau,22,23.5,22.8
Philippines,22.6,23.1,22.9
Togo,22.2,23.6,22.9
Congo,22.2,23.7,23
Nigeria,22.4,23.7,23.1
Benin,22.4,23.8,23.1
Djibouti,22.6,23.7,23.2
Zimbabwe,21.7,24.8,23.3
Bhutan,23,23.7,23.3
Cote d'Ivoire,23,23.8,23.4
China,23.6,23.3,23.4
Pakistan,23,24,23.4
Gambia,22.5,24.5,23.5
Angola,23.1,24.1,23.6
Haiti,23.8,23.5,23.6
South Korea,24,23.1,23.6
Singapore,24.1,23.1,23.6
Liberia,23.1,24.3,23.7
Thailand,23.2,24.4,23.8
Ghana,23.1,24.6,23.8
Comoros,22.9,24.6,23.8
Namibia,22.5,25.3,23.9
Cameroon,23.6,24.7,24.2
Cabo Verde,23.6,25,24.3
Botswana,22.5,26.2,24.4
Sao Tome and Principe,23.6,25.2,24.4
Mauritania,23,26,24.5
Lesotho,22.4,26.8,24.6
Maldives,23.9,25.7,24.8
South Sudan,23.4,26.3,24.9
Tajikistan,25.1,24.8,24.9
Sudan,23.4,26.3,24.9
Papua New Guinea,24.8,25.3,25
Malaysia,24.6,25.3,25
Gabon,24.3,25.9,25.1
Equatorial Guinea,24.7,25.6,25.1
Denmark,25.9,24.4,25.1
Switzerland,26.4,23.9,25.1
Morocco,24.8,25.6,25.2
France,25.9,24.5,25.2
Romania,25.4,24.9,25.2
Mauritius,24.7,25.9,25.3
Netherlands,25.7,24.9,25.3
Austria,26.2,24.3,25.3
Croatia,26.2,24.5,25.3
Estonia,26.7,24.3,25.4
Mongolia,24.9,25.8,25.4
Belgium,26.1,24.8,25.4
Solomon Islands,24.5,26.3,25.4
Paraguay,25.3,25.6,25.4
Yemen,24.8,26.2,25.5
Bolivia,24.2,26.8,25.5
Sweden,26.4,24.8,25.6
Colombia,25,26.2,25.6
Uzbekistan,25.4,25.7,25.6
Brazil,25.5,25.7,25.6
Macedonia,26.1,25.2,25.7
Serbia,26.2,25.2,25.7
Cuba,25.1,26.3,25.7
