Country Name,Country Code,Under Five Mortality (Probability),Physician Density,EconomicFreedom,YearsSchooling_BothSexes,YearsSchooling_Female,YearsSchooling_Male,MeanBMI_BothSexes,MeanBMI_Female,MeanBMI_Male,Insuff_Activity_BothSexes,Insuff_Activity_Female,Insuff_Activity_Male,NationalIncome,AlcoholConsumption_Litres,LifeExpectancy_Birth_BothSexes,LifeExpectancy_Birth_Female,LifeExpectancy_Birth_Male,LifeExpectancy_Birth_BothSexes,LifeExpectancy_Birth_Female,LifeExpectancy_Birth_Male,GDP,HouseholdConsumption,WomenInParliament,Urbanization_Percent,Happiness_Avg,ChoiceFreedom,Population,HaveProgram_BadDiet,HaveProgram_PhysicalInactivity,HaveProgram_Alochol,HaveProgram_CVD,HaveProgram_Diabetes,HaveProgram_Tobacco,McDonalds
Australia,3700,3.9,3.273,7.93,13.1751,13.26248,13.08631,27.2,26.8,27.6,23.8,27.6,20.1,42540,9.87,82.7,84.6,80.7,25.3,26.7,23.9,61995.8296976,29959.8017564572,26,89.289,7.288550377,0.922932267,23464086,1,1,1,1,1,1,896
Belgium,4500,4.2,3.782,7.51,11.38096,11.22817,11.58017,25.5,24.7,26.2,33.2,38.2,28.3,40280,11.77,80.9,83.3,78.4,23.9,25.7,22.0,47299.8601085612,22858.3973671298,39.3,97.818,6.855329037,0.86095351,11231213,1,1,1,1,1,1,65
Brazil,5200,16.2,1.891,6.27,7.27049,7.45982,7.05828,25.9,26,25.9,27.8,29.7,25.9,14750,7.24,74.8,78.5,71.2,21.5,23.2,19.6,11728.7993875108,7336.7999599812,9.9,85.433,6.980998993,0.713814318,206077898,1,1,0,0,0,1,731
China,6400,11.4,1.491,6.45,7.11324,6.61421,7.60754,23.9,23.6,24.2,24.1,25.6,22.5,11850,5.79,75.8,77.4,74.4,19.6,20.8,18.5,7587.28973166335,2151.83150634066,23.4,54.41,5.195619106,0.804723918,1364270000,1,1,1,1,1,1,1705
Colombia,6500,16.4,1.471,6.43,7.06667,7.10278,7.02715,25.9,26.5,25.4,63.6,72.9,54.3,11890,4.41,74.6,78.2,71.0,21.6,23.0,20.0,7918.07890039352,4490.94886170052,19.9,76.161,6.44878912,0.801191449,47791393,1,1,1,1,1,1,75
Denmark,7500,3.6,3.485,7.67,12.70017,12.5578,12.9116,25.3,24.5,26,24.3,26.2,22.4,44460,9.5,80.4,82.3,78.4,23.1,24.5,21.6,61330.9126252044,27421.4743272925,39.1,87.502,7.507559299,0.941572249,5643475,1,1,0,1,1,0,86
Ecuador,7900,22.3,1.724,5.76,8.26764,8.15725,8.38844,27,27.7,26.4,25.2,30.8,19.6,10310,3.77,76.0,78.8,73.2,22.6,23.8,21.4,6345.84072505948,3203.51150124872,41.6,63.516,5.945851803,0.719104826,15902916,1,1,1,1,1,1,21
France,8800,4.4,3.19,7.3,11.41453,11.22571,11.66131,25.3,24.6,26.1,23.8,28.5,19.1,37580,11.1,82.2,85.2,79.1,25.5,27.6,23.3,42546.8387870273,22673.5348540833,26.2,79.289,6.466867924,0.803474188,66495940,1,1,0,1,0,0,1258
Georgia,9100,12.6,4.272,7.98,12.24651,12.25806,12.19687,27.2,27.3,27.2,20.6,21,20.2,7040,5.91,74.5,78.4,70.5,19.5,21.6,17.1,4429.65007451491,2227.96575335281,12,53.468,4.287508011,0.71978116,3727000,0,0,0,0,0,0,6
Germany,9200,3.8,3.889,7.55,13.46053,13.09495,13.81511,26.3,25.6,27,21.1,23.5,18.7,44540,10.94,80.9,83.2,78.5,23.6,25.3,21.7,47767.0019056435,24586.4123615948,36.5,75.094,6.984214306,0.898683429,80982500,1,1,1,1,1,1,1440
Hungary,10200,6.1,3.08,7.3,12.07328,11.98637,12.20289,26.3,25.2,27.5,18.1,19,17.2,21000,10.88,75.6,79.0,72.1,20.1,22.2,17.6,14021.902274347,6939.49566861846,10.1,70.771,5.18056345,0.494474709,9866468,1,0,0,1,0,1,98
Indonesia,10500,28.2,0.204,7.02,7.51075,7.00303,8.02934,22.9,23.4,22.4,23.7,22,25.5,9260,0.09,68.9,71.0,66.9,16.6,17.8,15.3,3499.58873476515,2053.90668208632,16.9,53.003,5.597375393,0.71941328,254454778,1,1,1,1,1,1,132
Ireland,10800,3.7,2.67,7.98,10.85957,11.01647,10.70979,27.5,27.1,27.9,35.1,40.1,30,35090,10.49,81.2,83.3,79.1,24.0,25.4,22.4,54321.2877185124,22703.9106765449,15.7,62.952,7.018379211,0.921629548,4617225,1,1,1,1,1,1,83
Italy,11000,3.6,3.764,7.17,9.94221,9.71373,10.19262,26,25.2,26.8,33.2,38.1,28.2,34100,7.35,82.5,84.6,80.2,24.9,26.5,23.1,35179.6539515302,20106.7667744165,31.4,68.821,6.026585102,0.623531222,60789140,1,1,1,1,1,1,456
Jordan,11300,18.5,2.558,7.82,9.90842,9.27923,10.49686,28.9,29.7,28.2,15.6,15.6,15.6,11660,0.4,74.0,75.7,72.4,19.1,20.3,17.9,4830.97691525943,2947.72503583401,12,83.447,5.333021641,0.728743196,7416083,1,1,1,1,1,1,19
Lithuania,12500,5.2,4.116,7.81,12.70211,12.69378,12.7003,26.6,26,27.3,18.4,20.6,16.1,24500,15.04,73.4,79.0,67.9,19.3,22.5,15.5,16489.7289835331,9534.88380439834,24.1,66.522,6.125723839,0.507947206,2932367,1,1,1,1,1,1,9
Malaysia,12900,7.2,1.198,7.25,9.96488,9.61564,10.30921,25.3,25.6,25,52.3,58,46.7,22460,0.53,74.8,77.1,72.5,19.4,20.3,18.5,11307.064952828,5450.52526558726,10.4,74.01,5.962921619,0.808384359,29901997,1,1,0,1,1,1,245
Malta,13200,6.5,3.486,7.74,11.27129,10.91669,11.6487,27.2,26.8,27.5,42.9,47.2,38.6,28030,8.58,81.4,83.5,79.4,23.9,25.3,22.4,22776.1946886632,12156.3523172826,14.3,95.277,6.45211792,0.903936625,427364,1,1,1,1,1,1,8
Mexico,13600,13.8,2.095,6.88,8.38481,8.21097,8.58032,28.1,28.7,27.5,26,31.8,20.3,16110,5.23,76.6,79.4,73.8,22.3,23.5,21.0,10350.814693018,6425.58997275776,37.4,78.971,6.679831028,0.779132903,125385833,1,1,1,1,1,1,402
Norway,15100,2.7,4.281,7.51,12.74642,12.79505,12.7016,26,25.2,26.9,25.8,28.8,22.9,66520,6.21,81.6,83.6,79.6,24.1,25.5,22.5,97429.7084759454,38733.8532618881,39.6,80.208,7.444470882,0.956316173,5137232,1,1,1,1,0,1,74
Pakistan,15300,83.3,0.827,6.01,5.08946,3.66649,6.4656,23.8,24.4,23.3,26,31.7,20.2,4920,0.04,66.2,67.2,65.2,17.8,18.0,17.6,1315.26762194284,903.395553374923,20.7,38.303,5.435657978,0.543138504,185044286,0,0,0,0,0,0,26
